E,SD,WR,FA,MI,FP,TL,PC,S_n,s_mean,s_sd
"2000 AKRON, CO",265,0,0,0,0,NA,NA,180,2.465104984,0.360492512
"2000 ALTUS, OK",291,0,0,0,0,1,NA,92,4.19307915,0.378453961
"2000 ALVA, OK",277,0,0,0,0,1,NA,88,3.996454118,0.329653795
"2000 APACHE, OK",313,0,0,0,0,1,NA,88,3.547334475,0.394051354
"2000 BALKO, OK",265,0,0,0,0,1,NA,120,1.773374804,0.469036457
"2000 BELLEVILLE, KS",274,0,0,0,0,NA,SOR,184,4.485069881,0.619102415
"2000 BENNETT, CO",258,0,0,0,0,NA,NA,180,2.307703803,0.575629832
"2000 BOISE CITY, OK",288,0,0,0,0,1,NA,120,2.373957633,0.49963744
"2000 BURLINGTON, CO",256,0,0,0,0,NA,NA,180,2.541171636,0.691069803
"2000 CHEROKEE, OK",277,0,0,0,0,1,NA,92,3.180023976,0.51119944
"2000 CHEYENNE WELLS, CO",261,0,0,0,0,NA,NA,180,2.936337144,0.319033471
"2000 CHICKASHA, OK",252,0,0,0,1,1,NA,96,1.64929388,0.394165267
"2000 CHICKASHA, OK",313,0,0,0,0,1,NA,88,3.73089503,0.507014025
"2000 COLBY, KS",258,1,0,0,0,NA,CAN,156,4.140266929,0.539979153
"2000 COLBY, KS",264,0,0,0,0,NA,FAL,200,2.818443174,0.529097167
"2000 ELK CITY, OK",273,0,0,0,0,1,NA,92,3.164381158,0.227620962
"2000 FREDERICK, OK",291,0,0,0,0,1,NA,88,2.463242037,0.367984774
"2000 GAGE, OK",278,0,0,0,0,1,NA,96,1.818748599,0.28935118
"2000 GARDEN CITY, KS",266,0,0,0,0,NA,FAL,196,2.209382677,0.324003907
"2000 GARDEN CITY, KS",267,1,0,0,0,NA,MAI,156,3.575203042,0.698599579
"2000 GENOA, CO",257,0,0,0,0,NA,NA,180,3.903721139,0.44369493
"2000 GOODWELL, OK",272,0,0,0,0,1,NA,116,2.827435475,0.368187192
"2000 GOODWELL, OK",278,1,0,0,0,1,NA,116,3.824641143,0.621766459
"2000 HASKELL, OK",288,0,0,0,0,1,NA,84,2.301934224,0.392438014
"2000 HAXTUN, CO",265,1,0,0,0,NA,NA,90,7.970709109,0.99053475
"2000 HAYS, KS",265,0,0,0,0,NA,FAL,200,4.203160726,0.557783269
"2000 HESSTON, KS",288,0,0,0,0,NA,SOY,116,2.860967465,0.320026901
"2000 HUTCHINSON, KS",291,0,0,0,0,NA,SOY,116,2.277282425,0.54339332
"2000 JULESBURG, CO",258,0,0,0,0,NA,NA,180,2.189382052,0.518230153
"2000 KINGFISHER, OK",274,0,0,0,0,1,NA,92,3.233677378,0.454069351
"2000 LAHOMA, OK",285,0,0,0,0,1,NA,92,1.879184819,0.509236816
"2000 LAMAR, CO",260,0,0,0,0,NA,NA,180,1.718149892,0.246554546
"2000 LAMONT, OK",312,0,0,0,0,1,NA,88,2.841138351,0.565153345
"2000 MARSHALL, OK",265,0,0,0,0,1,NA,92,2.826086957,0.506348732
"2000 MARSHALL, OK",310,0,0,0,1,1,NA,92,2.960732142,0.49471343
"2000 OTTAWA, KS",291,0,0,0,0,NA,SOY,88,3.547219845,0.339367049
"2000 PARSONS, KS",280,0,0,0,0,NA,WHE,104,3.356829704,0.590621459
"2000 PERKINS, OK",253,0,0,0,1,1,NA,96,1.203135508,0.291929642
"2000 PERKINS, OK",309,0,0,0,0,1,NA,88,2.999556765,0.457048067
"2000 ROCKY FORD, CO",272,1,0,0,0,NA,NA,90,5.654785922,0.747766906
"2000 ST. JOHN, KS",273,0,0,0,0,NA,SOR,204,3.203416538,0.621346985
"2000 ST. JOHN, KS",274,1,0,0,0,NA,MAI,132,3.398137393,1.051880563
"2000 TONKAWA, OK",286,0,0,0,0,1,NA,92,3.46510336,0.378131274
