"Region","YOR","G","BLUP"
"Alberta",2001,"5500HR",3.5870485617306
"Alberta",1999,"5600HR",3.58742367223265
"Alberta",2002,"5601HR",3.43649710840217
"Alberta",2004,"5602HR",3.65020028767309
"Alberta",2009,"5603HR",3.7302451993646
"Manitoba",2011,"5604HRCL",3.55978074255487
"Alberta",2011,"5604HRCL",3.55978074255487
"Manitoba",2011,"5605HRCL",3.72627385457995
"Alberta",2011,"5605HRCL",3.72627385457995
"Manitoba",2001,"5700PR",4.09669697083746
"Alberta",2001,"5700PR",4.09669697083746
"Alberta",2002,"5701PR",4.03861078473217
"Manitoba",2008,"5702PR",4.11031502198686
"Alberta",2008,"5702PR",4.11031502198686
"Manitoba",2007,"ABOUND",3.74898424091499
"Alberta",2007,"ABOUND",3.74898424091499
"Manitoba",2019,"ACCELERATE",4.20275034633751
"Alberta",2019,"ACCELERATE",4.20275034633751
"Manitoba",2017,"ADAMANT",3.77607515019854
"Alberta",2017,"ADAMANT",3.77607515019854
"Manitoba",2018,"ALDERON",4.42695677264014
"Alberta",2018,"ALDERON",4.42695677264014
"Manitoba",2017,"ALIDA",3.7418051439812
"Alberta",2017,"ALIDA",3.7418051439812
"Alberta",1999,"ALIKAT",3.41695813198754
"Alberta",2005,"ALSASK",3.73505603307184
"Manitoba",2006,"ALVENA",3.5788460207098
"Alberta",2006,"ALVENA",3.5788460207098
"Alberta",1999,"AMAZON",3.55696091204439
"Manitoba",2004,"ANDREW",4.66965609995743
"Alberta",2004,"ANDREW",4.66965609995743
"Manitoba",2016,"AWESOME",4.67876667730421
"Alberta",2016,"AWESOME",4.67876667730421
"Manitoba",2012,"BAILEY",3.41960290751821
"Alberta",2012,"BAILEY",3.41960290751821
"Alberta",1994,"BARRIE",3.52019466495828
"Manitoba",2019,"BOLLES",3.70691175806371
"Manitoba",2015,"BRADWELL",3.72028962839124
"Alberta",2015,"BRADWELL",3.72028962839124
"Manitoba",2013,"BRANDON",3.97001695819398
"Alberta",2013,"BRANDON",3.97001695819398
"Manitoba",2020,"BRAWN",3.79735824335155
"Alberta",2020,"BRAWN",3.79735824335155
"Manitoba",2019,"BROADACRES",3.95539786070226
"Alberta",2019,"BROADACRES",3.95539786070226
"Manitoba",2004,"BURNSIDE",3.64570665738415
"Alberta",1996,"CADILLAC",3.4479915527776
"Manitoba",2015,"CAMERON",4.00459316960587
"Alberta",2015,"CAMERON",4.00459316960587
"Manitoba",2009,"CARBERRY",3.68435100161906
"Alberta",2009,"CARBERRY",3.68435100161906
"Manitoba",2011,"CARDALE",3.73899472106848
"Alberta",2011,"CARDALE",3.73899472106848
"Manitoba",2020,"CAST",3.81799019550482
"Alberta",2020,"CAST",3.81799019550482
"Alberta",2018,"CASTLE",4.17402090992125
"Manitoba",2009,"CDNBISON",3.90199054543202
"Alberta",2016,"CHARING",4.62757261860908
"Alberta",2017,"CHERT",3.75270080463631
"Manitoba",2013,"CHIFFON",4.65130814493346
"Alberta",2013,"CHIFFON",4.65130814493346
"Manitoba",2018,"CIRRUS",3.70664625751528
"Alberta",2018,"CIRRUS",3.70664625751528
"Manitoba",2014,"COLEMAN",3.46626268998002
"Alberta",2014,"COLEMAN",3.46626268998002
"Alberta",2016,"CONCORD",3.68774554619174
"Manitoba",2015,"CONNERY",3.57921201481181
"Alberta",2015,"CONNERY",3.57921201481181
"Manitoba",2010,"CONQUER",3.98051177427745
"Alberta",2010,"CONQUER",3.98051177427745
"Alberta",2018,"CORDONCL",3.86815082305764
"Alberta",2016,"CROSSFIELD",4.01368050120755
"Alberta",2020,"CROSSITE",3.74733065049925
"Alberta",2014,"CRUSADER",3.96327083797361
"Alberta",1996,"CRYSTAL",3.97984073011516
"Manitoba",2018,"CSTRACKER",3.65606543614405
"Manitoba",2019,"DAYBREAK",3.89973835073958
"Manitoba",2021,"DONALD",3.92650405395072
"Manitoba",2016,"ELGINND",4.10467059491531
"Alberta",2016,"ELGINND",4.10467059491531
"Manitoba",2013,"ELIE",3.88620394568302
"Alberta",2013,"ELIE",3.88620394568302
"Manitoba",2018,"ELLERSLIE",3.64926352554962
"Alberta",2018,"ELLERSLIE",3.64926352554962
"Alberta",1996,"ELSA",3.65413256191032
"Manitoba",2021,"ENCHANT",3.94658462467659
"Alberta",2021,"ENCHANT",3.94658462467659
"Manitoba",2016,"ENTICE",3.93992077957444
