G,YOR
5500HR,2001
5600HR,1999
5601HR,2002
5602HR,2004
5603 HR,2009
5604HR CL,2011
5605HR CL,2011
5700PR,2001
5701PR,2002
5702PR,2008
AAC ALIDA VB,2017
AAC AWESOME,2016
AAC BAILEY,2012
AAC BRANDON,2013
AAC BROADACRES VB,2019
AAC CAMERON,2015
AAC CASTLE,2018
AAC CHIFFON,2013
AAC CIRRUS,2018
AAC CONCORD,2016
AAC CONNERY,2015
AAC CROSSFIELD,2016
AAC CRUSADER,2014
AAC ELIE,2013
AAC ENTICE,2016
AAC FORAY,2014
AAC GOODWIN,2017
AAC HOCKLEY,2020
AAC HODGE VB,2020
AAC ICEBERG,2013
AAC INDUS,2015
AAC INNOVA,2013
AAC JATHARIA VB,2015
AAC LEROY VB,2018
AAC MAGNET,2018
AAC NRG097,2014
AAC PARAMOUNT,2016
AAC PENHOLD,2014
AAC PERFORM,2021
AAC PREVAIL,2014
AAC PROCLAIM,2013
AAC REDBERRY,2016
AAC REDSTAR,2020
AAC REDWATER,2012
AAC RIMBEY,2021
AAC RUSSELL VB,2019
AAC RYLEY,2013
AAC STARBUCK,2018
AAC TENACIOUS,2014
AAC TISDALE,2017
AAC TOMKINS,2020
AAC VIEWFIELD,2016
AAC WARMAN VB,2018
AAC WESTLOCK,2021
AAC WHEATLAND VB,2018
AAC WHITEHEAD VB,2021
AC ANDREW,2004
AC BARRIE,1994
AC CADILLAC,1996
AC CRYSTAL,1996
AC ELSA,1996
AC ENCHANT VB,2021
AC FOREMOST,1995
AC GLENAVON,1999
AC INTREPID,1997
AC IVORY,
AC MAJESTIC,1996
AC MEENA,2001
AC MUCHMORE,2009
AC PHIL,1996
AC REED,1991
AC SADASH,2007
AC SPLENDOR,1997
AC TABER,1991
AC VISTA,1999
ACCELERATE,2019
ALIKAT,1999
ALVENA,2006
AMAZON,1999
BW 755,
CARBERRY,2009
CARDALE,2011
CDC ABOUND,2007
CDC ADAMANT,2017
CDC ALSASK,2005
CDC BRADWELL,2015
CDC CORDON CL,2018
CDC GO,2004
CDC HUGHES,2016
CDC KERNEN,2010
CDC LANDMARK VB,2016
CDC MORRIS,2012
CDC NRG 003,2010
CDC ORTONA,2019
CDC OSLER,2004
CDC PLENTIFUL,2012
CDC RAMA,2002
CDC REIGN,2019
CDC SILAS,2021
CDC SKRUSH,2020
CDC STANLEY,2010
CDC SUCCESSION CL PLUS,2021
CDC TERRAIN,2016
CDC THRIVE,2010
CDC UTMOST VB,2010
CDC WHITEWOOD,2013
COLEMAN,2014
CONQUER VB,2010
ELGIN ND,2016
ELLERSLIE,2018
FIELDSTAR VB,2008
FOREFRONT,2021
GLENLEA,1972
GLENN,2009
GO EARLY,2015
GOODEVE,2007
HARVEST,2002
INFINITY,2004
JAKE,2018
KANATA,2006
KANE,2006
KATEPWA,1981
KWS ALDERON,2018
KWS CHARING,2016
KWS SPARROW,2017
LILLIAN,2003
LOVITT,2002
MCKENZIE,1997
MINNEDOSA,2009
NRG010,2010
PARATA,2015
PARK,
PASTEUR,2011
PEACE,2004
PRODIGY,1998
REDNET,2018
SHAW VB,2009
SHEBA,2019
SNOWBIRD,2004
SNOWSTAR,2009
STETTLER,2008
SUPERB,2001
SY BRAWN,2020
SY CAST,2020
SY CHERT,2017
SY CROSSITE,2020
SY GABBRO,2019
SY MANNESS,2021
SY OBSIDIAN,2017
SY RORKE,2020
SY SLATE,2016
SY SOVITE,2016
SY TORACH,2019
SY087,2014
SY433,2012
SY479,2016
SY637,2016
SY985,2011
SY995,2014
THORSBY,2014
TITANIUM,2014
TRACKER,2018
UNITY VB,2007
VESPER VB,2010
WASKADA,2007
WHITEHAWK,2012
WPB WHISTLER,2019
WR 859 CL,2009
BOLLES,2019
BURNSIDE,2004
CDNBISON,2009
CSTRACKER,2018
DARBY,
DAYBREAK,2019
DONALD,2021
ENVY,
FALLER,2018
GLENCROSS,2008
PILARCLPLUS,2021
PROSPER,2018
ROWYN,2016
SHELLY,2020
TRADITION,2015
W1876,2014
WFT603,2014
WHITEFOX,2013
