G,YOR
5700PR,2000
Snowbird,2003
Burnside,2004
Harvest,2001
Pasteur,2013
Infinity,2004
Alvena,2006
Kane,2007
Snowstar,2007
Glenn,2005
5702PR,2008
AC_Andrew,2003
CDC_Abound,2008
Fieldstar_VB,2008
Glencross_VB,2008
Goodeve_VB,2007
Unity_VB,2007
Waskada,2007
CDN_Bison,2009
Minnedosa,2009
Stettler,2008
WR859_CL,2009
5604HR_CL,2010
Carberry,2009
Conquer_VB,2009
Muchmore,2009
NRG010,2010
Sadash,2007
Shaw_VB,
CDC_Kernen,2010
CDC_NRG003,2010
CDC_Thrive,2010
SY985,2013
Vesper_VB,
CDC_Stanley,2010
CDC_Utmost_VB,2010
SY433,
Whitehawk,2013
AAC_Bailey,2013
AAC_Brandon,2014
AAC_Chiffon,2014
AAC_Elie,2014
AAC_Iceberg,2013
AAC_Innova,2014
AAC_Proclaim,2013
AAC_Redwater,2013
AAC_Ryley,2014
Cardale,2011
CDC_Plentiful,2013
CDC_VR_Morris,2013
Enchant_VB,2013
Faller,
Prosper,2011
5605HR_CL,2014
AAC_Prevail_VB,2014
AAC_Whitefox,2014
CDC_Titanium_VB,2014
CDC_Whitewood,2014
Coleman,2015
AAC_Foray_VB,2015
AAC_NRG097,2015
AAC_Penhold,2015
AAC_Tenacious_VB,2015
SY087,2015
SY995,2015
AAC_Cameron_VB,2016
AAC_Connery,2016
AAC_Jatharia_VB,2016
AAC_Tradition,2016
CDC_Bradwell,2016
SY479_VB,2017
SY637,2017
Thorsby,2015
WFT603,2015
AAC_W1876,2015
AAC_Redberry,2017
AAC_Viewfield,2017
SY_Slate,2017
AAC_Indus,2016
CDC_Terrain,2017
Elgin_ND,2017
CDC_Hughes_VB,2017
CDC_Landmark_VB,2017
AAC_Goodwin,2018
AAC_Tisdale,2018
CDC_Adamant,2018
SY_Sovite,2017
AAC_Awesome,2017
Alderon,2019
SY_Rowyn,2017
AAC_Entice,2017
AAC_Cirrus,2019
AAC_Warman,2019
SY_Obsidian,2018
AAC_Paramount,2017
AAC_Alida_VB,2018
AAC_LeRoy,2019
AAC_Magnet,2019
AAC_Starbuck_VB,2019
AAC_Wheatland_VB,2019
Parata,2016
SY_Gabbro,2020
SY_Torach,2020
AAC_Broadacres,2020
AAC_Redstar,2021
AAC_Russell_VB,2020
Accelerate,2020
Bolles,2020
CDC_Ortona,2020
CDC_Pilar_CLPlus,2022
CDC_SKRush,2021
CDC_Succession_CLPlus,2021
CS_Tracker,2019
Daybreak,2020
Ellerslie,2019
RedNet,2019
SY_Brawn,2021
SY_Cast,2021
SY_Rorke,2021
WPB_Whistler,2020
AAC_Hockley,2021
AAC_Hodge_VB,2021
CDC_Reign,2020
CDC_Silas,2021
SY_Donald,2022
SY_Manness,2022
AAC_Darby_VB,
AAC_Rimbey_VB,2022
AAC_Tomkins,2021
AAC_Whitehead_VB,2022
CDC_Envy,
Shelly,2021
