 varietyname, experimentalnum, regdate, previousname
LEMHI 62,,4/19/1968,
PITIC 62,,1/14/1969,
NEEPAWA,,3/24/1969,
GLENLEA,UM 714A,3/14/1972,
SPRINGFIELD,,3/21/1972,
NAPAYO,,4/5/1972,
NORQUAY,UM607A,2/26/1974,
CANUCK,C.T. 774,4/3/1974,
SINTON,CT440,10/10/1975,
CHESTER,"BW 500, CT 786",2/11/1976,
FIELDER,CI 17268,3/25/1976,
LAVAL-19,LARAL 19 NL-8-58,4/4/1979,
BENITO,BW 20,12/19/1979,
COLUMBUS,BW37,3/27/1980,
LEADER,BW 535,3/25/1981,
KATEPWA,"RL 4376, BW49",11/16/1981,
HY320,"NB320, HY320",1/23/1985,
LANCER,BW572,5/15/1985,
KENYON,BW 571,11/7/1985,
CONWAY,"BW 569, S79407",4/28/1986,
ROBLIN,"RL 4483, BW 92",5/13/1986,
CASAVANT,B32M-46,8/18/1986,
MONDOR,SH76-19,8/18/1986,
BELVEDERE,AW62,8/18/1986,
MESSIER,SH78-210,8/18/1986,
VERNON,MPO-1,8/18/1986,
DUNDAS,AW2-4,8/18/1986,
MILTON,"B72-3, AW4",8/18/1986,
ANKRA,,8/18/1986,
CONCORDE,MADERES 63,8/18/1986,
OPAL,,8/18/1986,
MAX,,8/18/1986,
LAURA,"BW581, BW593",12/23/1986,
WILDCAT,PT329,2/10/1987,
BLUESKY,PT325,2/26/1987,
OSLO,"HY 925, PT 807",3/18/1987,
BIGGAR,HY368,4/11/1989,
GENESIS,"HY355, 7722-AN4B",3/26/1990,
PASQUA,"BW 114, RL 4563",4/6/1990,
CDC MAKWA,"BW606, W82382",5/18/1990,
AC BALTIC,AW 117,1/9/1991,
CUTLER,PT 751,1/24/1991,
AC MINTO,"BW 120, RL 4582",1/29/1991,
AC TABER,"HY380, L8474-D2",5/10/1991,
CDC TEAL,"BW 616, W84315",5/10/1991,
AC REED,,12/20/1991,
CDC MERLIN,"BW 636, W85274",4/21/1992,
ALGOT,,3/12/1993,
CELTIC,NAHS 81-55,4/14/1993,
NORSEMAN,HS78-1138,4/14/1993,
INVADER,"UGG88-3140, BW 158",5/25/1993,
AC EATONIA,"BW 642, 8304-M5C",7/9/1993,
CONSENS,"LP6021.3.86, 90868",8/11/1993,
SS BLOMIDON,"HEGE 215-86, 90692",10/19/1993,
SS FUNDY,"HEGE 770-87, 90703",10/19/1993,
SS MAESTRO,"HEGE 155-85, 90603",10/19/1993,
AQUINO,BA 85-07.49,10/25/1993,
AC DOMAIN,"BW148, RL4630",12/22/1993,
AC MICHAEL,"BW653, LAW-135-001",1/12/1994,
AC VOYAGEUR,Q.W. 522.3,3/18/1994,
AC BARRIE,BW661,8/16/1994,
AC KARMA,"HY395, 8628-VC2E",10/11/1994,
PACIFIC,"BW90, RL4476",11/24/1994,
AC CORA,"BW 152, RL 4646",12/15/1994,
AC FOREMOST,"HY392, L8800-BM07A",6/2/1995,
AC GABRIEL,AW204,6/13/1995,
AC POLLET,Q.W.500.45,7/8/1995,
SS QUEST,H 159-88,10/23/1995,
DIABLO,QW546-17,11/3/1995,
AC MAJESTIC,"BW 173, RL4681",1/26/1996,
AC PHIL,SWS-89,3/15/1996,
AC WILMOT,AW 225,7/5/1996,
AC CADILLAC,BW 689,7/17/1996,
AC CRYSTAL,HY 417,7/22/1996,
AC ELSA,"BW685, HY417",10/7/1996,
AC NAPIER,Q.W. 533.13,12/9/1996,
AC BRIO,Q.W. 547.31,12/12/1996,
AC SPLENDOR,BW191,3/24/1997,
AC NORBORO,AW 254,4/22/1997,
AC DRUMMOND,Q.W. 534.14,5/8/1997,
AC INTREPID,"BW693, 8707-BUIC",8/29/1997,
MCKENZIE,"BW205, SWP924-017",10/20/1997,
AC NANDA,SWS-179,2/25/1998,
GRANDIN,"ND 626, BW 166",2/28/1998,
PRODIGY,"SW220, SWP930-705",4/17/1998,
AC TAHO,CM-RL4719,7/10/1998,
AC ABBEY,BW691,7/22/1998,
QUANTUM,cm 93609,3/15/1999,
LASER,PT754,5/5/1999,
ALIKAT,"PT 755, ISOLINE 199",7/30/1999,
AC VISTA,"HY413, 8716-CB01C",8/23/1999,
AMAZON,"ES-4, UMGS-1",10/22/1999,
5600 HR,"BW 238, UGG94-2283",11/22/1999,
AC CORINNE,"ES 7, 92W537",11/22/1999,
GLENAVON,ES 13,11/26/1999,
CDC BOUNTY,"BW720, W93079",3/16/2000,
AC HELENA,AW 356,3/24/2000,
AC HARTLAND,AW 305,3/24/2000,
AC WALTON,AW197,4/20/2000,
5500HR,"BW245, UGG95-2184",1/12/2001,
5700PR,"HY961, UGG95-3105, CM953015",1/12/2001,
SUPERB,"BW252, RL4827, 93B49*Q5$",4/12/2001,
AC MEENA,"SWS 234, 96B-157, PR95-2830",4/20/2001,
5701PR,"HY962, UGG96-3064",1/11/2002,
5601HR,"BW256, UGG96-2428",1/11/2002,
CDC RAMA,"ES21, W97253",2/15/2002,
WENDELL HRS,N94-0105,2/26/2002,
606,"CM2023, CM97606, ACS 97606",3/25/2002,
JOURNEY,"BW243, SWP 950-252",4/9/2002,
TORKA,"97633, CFB 97633, ACS 97633",5/1/2002,
HARVEST,"BW259, RL4641, 91B14-BP2ES",6/21/2002,
SAKU,BS97-310,6/26/2002,
LOVITT,"PT205, 9205-MAZZ**K",11/8/2002,
CDC IMAGINE,"BW 758, W98501",12/18/2002,
BHISHAJ,"SWS-285, CP-03-04, DH-426, 98B-196",7/24/2003,
ORLEANS,BS98-581,8/27/2003,
LILLIAN,"BW776, 95B23*NE16",9/4/2003,
ARION,"ACS97626, CFB97626, 97626, ACS97626-2",1/19/2004,
WINFIELD HRS,W94194,2/24/2004,
SABLE,"CM2032, ACS 99650",3/2/2004,
HOFFMAN HRF,"QW628.5, T5QW628.5",3/9/2004,
BROOKFIELD,AW 466,3/11/2004,
AC ANDREW,"SWS 241, 96DH-812",5/5/2004,
CDC GO,"BW781, W98096",5/5/2004,
CDC OSLER,"PT555, W98029",5/5/2004,
CDC WALRUS,"ES41, W98471",5/5/2004,
SNOWBIRD,"BW264, RL 4871, 94B46*H79",9/17/2004,
BURNSIDE,"ES54, 96E05*C37",9/23/2004,
PEACE,"PT416, RL4904, 91BO5-CC1D",9/23/2004,
INFINITY,"BW799, 9409-CU2C",9/23/2004,
5602HR,"BW 297, UGG99-2234",10/14/2004,
NASS,AW 488,12/22/2004,
NORWELL,B89-12-51-1248,2/7/2005,
SOMERSET,"BW 307, RL 4966, 94B95-U5",5/20/2005,
CDC ALSASK,"BW301, W98332",7/18/2005,
HOBSON HRS,W98095,7/18/2005,
HELIOS,"PT211, 9610-AN02E",3/27/2006,
ISIDORE,B89-6-28-883,5/12/2006,
BATISCAN,01SW2.33,6/12/2006,
KANE,"BW 342, 9CBZ5-Z4A",7/25/2006,
KANATA,"BW263, RL4861, 94B46*D70",8/30/2006,
ALVENA,"PT213, B9861, DW016",11/10/2006,
CDC ABOUND,"BW824, IR01013",5/10/2007,
ARCTIC,01SW9.13,6/4/2007,
